antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"dual_type=Yes, tier=Average",gen=Early(1-3),0.16209476309226933,0.4014962593516209,0.0714879467996675,0.441025641025641,1.0984551680203856,0.0064075057576341715,1.0707177011599442,0.10696982281284598
"dual_type=Yes, gen=Early(1-3)",tier=Average,0.20947630922693267,0.3117206982543641,0.0714879467996675,0.3412698412698413,1.0947936507936509,0.006189845419700954,1.044857735180122,0.10952974836769128
type1=Bug,legendary=No,0.0739817123857024,0.8869492934330839,0.0714879467996675,0.9662921348314607,1.0894558933479355,0.005869919272199112,3.3538376281518465,0.08867061918082757
gen=Early(1-3),"dual_type=No, legendary=No",0.4014962593516209,0.40980881130507063,0.17871986699916875,0.4451345755693582,1.0862005971804016,0.014183162210848643,1.0636654632076525,0.13259689922480652
"dual_type=No, legendary=No",gen=Early(1-3),0.40980881130507063,0.4014962593516209,0.17871986699916875,0.436105476673428,1.0862005971804016,0.014183162210848643,1.0613753386318379,0.1344644611857193
"gen=Early(1-3), tier=Average",dual_type=No,0.13881961762261014,0.4472152950955943,0.06733167082294264,0.48502994011976047,1.0845557954722527,0.0052494145627894825,1.0734307641748342,0.09053100719767393
"gen=Early(1-3), legendary=No, tier=Average",dual_type=No,0.13881961762261014,0.4472152950955943,0.06733167082294264,0.48502994011976047,1.0845557954722527,0.0052494145627894825,1.0734307641748342,0.09053100719767393
"dual_type=Yes, legendary=No",tier=Average,0.4771404821280133,0.3117206982543641,0.16126350789692437,0.3379790940766551,1.0842369337979096,0.012528943642556134,1.039663997899987,0.1485912838247588
tier=Average,"dual_type=Yes, legendary=No",0.3117206982543641,0.4771404821280133,0.16126350789692437,0.5173333333333333,1.0842369337979094,0.012528943642556134,1.0832724817789778,0.1128791274465861
"gen=Early(1-3), type1=Water",legendary=No,0.06400665004156277,0.8869492934330839,0.06151288445552785,0.961038961038961,1.0835331491376476,0.004742231426145084,2.901634801884178,0.0823652249051894
"gen=Early(1-3), tier=Average","dual_type=Yes, legendary=No",0.13881961762261014,0.4771404821280133,0.0714879467996675,0.5149700598802395,1.079283940829143,0.005251487518388845,1.0779943146249602,0.0853012480919458
"dual_type=Yes, type1=Bug",legendary=No,0.05486284289276808,0.8869492934330839,0.05236907730673317,0.9545454545454546,1.076211979211042,0.0037085175672622317,2.4871155444721555,0.07492566067763967
type1=Normal,legendary=No,0.10723192019950124,0.8869492934330839,0.10224438902743142,0.9534883720930233,1.075020160850897,0.007135113173010951,2.430590191188697,0.07816687105418543
tier=Average,dual_type=No,0.3117206982543641,0.4472152950955943,0.14962593516209477,0.48,1.0733085501858737,0.010219671104864603,1.0630475094315492,0.09923510466988726
dual_type=No,tier=Average,0.4472152950955943,0.3117206982543641,0.14962593516209477,0.3345724907063197,1.0733085501858737,0.010219671104864603,1.034341520500425,0.12355889724310773
"gen=Recent(7-9), legendary=No",tier=Average,0.2310889443059019,0.3117206982543641,0.0773067331670823,0.33453237410071945,1.073179856115108,0.0052715260891827015,1.0342791669474962,0.08868352223190941
"dual_type=No, type1=Normal",legendary=No,0.06650041562759768,0.8869492934330839,0.06317539484621779,0.95,1.071087160262418,0.004192898192313617,2.261014131338319,0.07109715517645401
dual_type=No,"gen=Early(1-3), legendary=No",0.4472152950955943,0.37323358270989193,0.17871986699916875,0.39962825278810415,1.0707189044634506,0.011804100167978532,1.0439638777154123,0.11948242699772715
"gen=Early(1-3), legendary=No",dual_type=No,0.37323358270989193,0.4472152950955943,0.17871986699916875,0.4788418708240535,1.0707189044634506,0.011804100167978532,1.0606851816328127,0.10537906359879119
"legendary=No, tier=Average",dual_type=No,0.3092269326683292,0.4472152950955943,0.1479634247714048,0.47849462365591394,1.0699424391413839,0.009672410826632505,1.059978918682675,0.09463351316269827
dual_type=No,"legendary=No, tier=Average",0.4472152950955943,0.3092269326683292,0.1479634247714048,0.3308550185873606,1.0699424391413839,0.009672410826632505,1.0323219728456636,0.11825631494466504
dual_type=No,gen=Early(1-3),0.4472152950955943,0.4014962593516209,0.19201995012468828,0.429368029739777,1.0694197510909975,0.012464682018975853,1.048843688823544,0.11742993848257022
gen=Early(1-3),dual_type=No,0.4014962593516209,0.4472152950955943,0.19201995012468828,0.4782608695652174,1.0694197510909973,0.012464682018975853,1.0595040177334443,0.1084595959595961
type1=Grass,legendary=No,0.09476309226932668,0.8869492934330839,0.08977556109725686,0.9473684210526316,1.068120159818478,0.005725503365443418,2.1479634247714077,0.07045199469441897
gen=Recent(7-9),dual_type=Yes,0.2776392352452203,0.5527847049044057,0.16375727348295926,0.5898203592814372,1.0669983341587501,0.010282550758045295,1.090291303371741,0.08692528315994212
"legendary=No, tier=Weak",gen=Early(1-3),0.21030756442227763,0.4014962593516209,0.08977556109725686,0.42687747035573126,1.0632165566002996,0.005337860668362351,1.0442858371313097,0.0752923976608188
type1=Grass,dual_type=Yes,0.09476309226932668,0.5527847049044057,0.05569409808811305,0.5877192982456141,1.0631974673525921,0.0033105100921843322,1.084734971082931,0.06566341844496519
"gen=Mid(4-6), legendary=No",tier=Average,0.2826267664172901,0.3117206982543641,0.09310058187863675,0.32941176470588235,1.0567529411764705,0.004999968905666008,1.0263814148838428,0.07486343320642275
"dual_type=No, type1=Water",legendary=No,0.0656691604322527,0.8869492934330839,0.06151288445552785,0.9367088607594938,1.0561019301721377,0.00326766900979749,1.786201163757277,0.05685534288737154
tier=Weak,gen=Early(1-3),0.2119700748129676,0.4014962593516209,0.08977556109725686,0.4235294117647059,1.0548776032151992,0.004670368965367128,1.038220774594127,0.0660161744022503
"legendary=No, tier=Strong",gen=Mid(4-6),0.20199501246882792,0.32086450540315875,0.06816292601828762,0.3374485596707819,1.0516855370050535,0.003349896248572265,1.025030591223804,0.06158536585365877
type1=Water,legendary=No,0.12219451371571072,0.8869492934330839,0.11388196176226101,0.9319727891156463,1.0507621980376032,0.005501624160712107,1.661845386533667,0.055034837425348426
"dual_type=No, gen=Early(1-3)",legendary=No,0.19201995012468828,0.8869492934330839,0.17871986699916875,0.9307359307359307,1.0493676894801545,0.008407907911020474,1.6321695760598511,0.05822566752799325
legendary=No,gen=Early(1-3),0.8869492934330839,0.4014962593516209,0.37323358270989193,0.4208059981255858,1.048094442536397,0.01712675916194556,1.0333389826404864,0.4059020044543441
